i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16
0,57765,58337,56253,55993,59628,56281,60808,61920,57356,58146,54842,53293,54255,60897,55228
1,58469,57923,54423,61206,61035,53644,57762,58671,55877,56559,61311,53651,59033,59657,53567
2,57507,61705,57725,55927,62175,58810,57955,62093,56408,56694,59652,56309,57689,61232,55626
3,58940,58457,56642,57400,63262,57015,56785,63769,53186,59209,60605,60180,55516,57931,54713
4,55592,59793,54936,55573,62098,55028,58990,59855,56692,57141,58519,55625,55799,59383,56102
5,56775,57545,57444,59168,62639,56092,54873,65091,53865,56563,60301,57751,59989,59745,56655
6,58083,57294,56639,55649,59411,57053,57229,59326,57121,57367,60174,54518,57227,61617,54650
7,57082,61479,55133,53383,60490,59060,57824,61708,58667,57864,60717,55956,58216,56472,53563
8,58844,63109,56392,56110,58870,54636,56221,60104,54515,58796,57318,57239,56667,59978,52618
9,59263,61210,54935,58654,60083,53116,55925,60406,57287,57508,60968,57307,56325,60769,58070
