i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16
0,145035,-1,-1,103879,-1,-1,96911,115748,93712,107881,202614,95078,118899,139879,93596
1,97359,52996,104621,95523,191634,93620,99189,106126,96192,95766,145132,100315,-1,-1,98103
2,97172,-1,-1,95934,139885,-1,133357,-1,-1,102259,-1,99770,103629,-1,97494
3,224422,-1,101257,102817,-1,98618,117361,128835,89321,109369,-1,-1,101452,-1,100384
4,106486,-1,100756,95951,-1,-1,92500,246493,-1,117555,-1,51312,99256,-1,96085
5,101158,136928,-1,105262,119323,96046,-1,-1,43602,-1,146176,105782,105996,-1,-1
6,-1,129698,93204,-1,-1,-1,101881,111006,92998,100755,116727,95062,97698,-1,48691
7,99575,160578,-1,98150,117108,95181,107090,146667,99776,106854,331914,94778,111393,-1,91801
8,96760,105412,100579,117622,215759,93429,103966,112817,94938,98333,121713,96722,135857,140532,98440
9,104089,210643,-1,-1,110467,93371,105905,-1,95289,98963,215594,-1,102758,-1,102182
