i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16
0,77175,79996,88436,45726,47070,51141,27706,27996,30068,18766,18063,18513,16891,14686,14176
1,82501,77628,85846,48970,47464,51200,29135,27535,28498,18014,17904,18501,14869,14005,13713
2,78940,79765,84906,46733,49081,49943,29670,28261,29099,18933,17423,18349,14546,15140,14623
3,79691,78245,85538,48355,47667,50002,28721,27607,29508,17485,17533,18967,13977,13432,14429
4,78639,81234,84123,48932,46287,49852,28903,27837,28615,17479,17548,18780,14145,14710,14783
5,77914,83032,86066,47397,47408,50249,27868,28167,29996,17210,17565,18696,14047,14574,13684
6,79140,79543,79257,46543,47436,51588,27342,28461,30575,18000,17480,18363,14257,13986,16028
7,78916,83275,85780,46188,47471,51114,30104,27560,30539,18264,19996,18069,15094,14704,14772
8,78864,82629,82974,46762,46484,50573,28750,27515,29590,17453,17873,18649,13791,13931,16061
9,81876,77527,89214,46812,46002,50528,27739,27393,29651,17283,17629,18472,13759,14619,14004
