i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16,base-32,aosdb-32,aosdboptcompile-32
0,16974,15769,15926,11206,10842,11053,8372,8370,8478,6394,6888,-1,5923,5735,5845,6647,6849,6512
1,16561,15512,15057,11325,10919,10532,8570,8680,8482,6232,6595,6211,5751,6351,5768,6546,6214,6315
2,16081,15960,14692,11033,11068,10908,8249,8486,-1,5946,6246,6389,5541,5870,-1,6548,7736,6705
3,17237,16435,14210,11159,11136,10695,8221,8321,8172,6508,6385,6053,5908,5693,-1,6649,6258,6724
4,15482,15364,14633,11180,11060,10618,8153,8224,8163,6644,6251,-1,6066,5843,-1,6564,6413,6702
5,16032,16133,15531,11019,10931,10986,8328,8395,7915,6459,6971,-1,6103,5904,5828,6734,6497,-1
6,15131,15221,15096,11553,11230,11350,8635,8477,8432,6322,6459,-1,6158,5732,5743,6793,6944,6666
7,15608,16267,15499,11469,10734,10895,8525,8622,8415,6118,6394,-1,6518,6116,6012,6562,6143,6565
8,16094,16779,15581,10917,11228,10993,8324,7936,8335,6556,6858,-1,5796,6016,5861,6454,7180,-1
9,14480,15704,15555,11341,11066,10840,8313,8459,8380,5669,5969,-1,6586,6022,-1,6534,6712,6385
