i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16,base-32,aosdb-32,aosdboptcompile-32
0,3535,3462,3513,3501,3402,3618,3306,3707,3419,3481,3576,-1,3376,3485,3403,3387,3523,3289
1,3453,3478,3481,3577,3375,3546,3480,3698,3581,3487,3649,3429,3398,3577,3561,3457,3592,3571
2,3440,3494,3800,3387,3466,3405,3410,3510,3539,3530,3461,3629,3323,3647,3514,3399,3472,3425
3,3408,3787,3403,3466,3628,3562,3392,3636,3251,3504,3692,3565,3589,3604,-1,3452,3443,3425
4,3320,3729,3478,3375,3610,3363,3383,3469,3618,3514,3494,-1,3455,3485,3357,3385,3738,3487
5,3473,3616,3464,3360,3507,3369,3503,3506,3581,3606,3440,3715,3436,3379,3387,3452,3572,3596
6,3432,3644,3492,3389,3497,3488,3533,3614,3533,3564,3547,3502,3388,3620,3607,3338,3594,3567
7,3533,3588,3615,3451,3559,3430,3406,3680,3519,3430,3576,3415,3429,3501,3698,3393,3672,3420
8,3438,3594,3578,3398,3643,3546,3330,3571,-1,3360,3542,3470,3529,3543,3464,3462,3272,3432
9,3484,3527,3518,3455,3496,3657,3385,3440,3441,3434,3376,3384,3511,3519,3558,3551,3509,3477
