i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16,base-32,aosdb-32,aosdboptcompile-32
0,28569,32331,28219,28502,30468,27621,29444,29588,28048,28307,29918,26623,26752,32534,26381,29144,30793,28650
1,29394,29036,28953,29290,31797,27400,30036,30649,29330,28572,31123,25666,28592,30915,27976,29328,31143,27141
2,29435,29260,28113,28252,30398,27814,27056,29900,28038,27880,29802,26172,28840,28625,27830,28509,30494,26586
3,27677,29999,29036,26835,30376,28990,26293,29436,28376,28284,28919,26284,28053,28974,27044,27550,30953,25513
4,29383,30753,29113,27952,30653,26537,27908,30920,28373,26972,30829,26847,27030,27656,26593,27590,30648,26484
5,29366,29710,27165,29314,31754,28472,27254,32885,27367,26886,29810,27653,29848,32788,28816,26763,35167,28270
6,27418,33255,27607,28825,32325,26723,25180,31812,27776,29346,30534,26959,27405,27816,28430,28911,28219,24810
7,28634,30096,26291,29998,30815,27786,28877,32940,27177,27838,30711,25474,28051,30928,27374,28291,31340,27957
8,29207,28914,25811,26449,30144,27674,31029,33105,27865,27750,31924,26586,29679,35174,26333,29935,30946,26433
9,30076,30098,27363,26322,30221,27342,29776,32095,28554,26697,30053,26940,28333,31515,27929,28349,28559,29386
