i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16,base-32,aosdb-32,aosdboptcompile-32
0,47718,49067,42011,45564,50552,42361,49369,50103,45173,48465,48788,42534,47053,48488,44824,46538,51083,42502
1,46502,48051,44834,46277,49438,43705,47391,46408,42519,46002,48545,41956,49240,47861,44166,47130,49446,42784
2,46772,50751,43823,46460,48661,42960,45163,49612,45153,46756,49167,42314,47620,50722,43603,47517,51612,43555
3,47326,48176,44396,46708,50348,43013,47032,48771,41495,45732,48030,43946,46417,50743,43748,46729,47851,42837
4,50275,47852,41324,44825,49181,43936,47859,48861,42807,47725,47723,44964,47268,50408,43851,49199,47582,43385
5,47960,51521,44363,45466,48623,46061,48341,46351,42214,47118,49201,43267,47420,49740,41736,45368,47340,43162
6,49692,48565,44647,44692,48094,42401,48462,47339,41291,47150,48191,41517,47060,48343,43429,44769,50639,41295
7,48771,51031,41966,45577,48118,41852,46117,50543,42961,48124,47417,44648,46814,48060,43032,47117,46747,41233
8,45186,48154,43767,47276,50363,43882,47028,48803,42410,47624,48875,45326,45613,49779,41253,46551,48061,-1
9,45777,49430,41587,45053,48203,40652,47451,48317,44776,46937,46244,44783,47399,50902,44127,47191,49455,42343
