i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16,base-32,aosdb-32,aosdboptcompile-32
0,36908,39146,42043,20413,22173,20580,11484,11770,11843,6756,8471,7132,4991,5377,4443,5088,5609,4802
1,38526,37363,40429,20255,22584,21410,11614,11668,12191,6949,6932,6801,4619,5840,4475,4941,6511,4755
2,36490,36615,41446,19839,20851,21764,11392,11771,12145,6943,7280,6964,4691,5734,4702,4987,6114,4688
3,36143,38832,42141,19596,20204,22564,12157,11665,12185,8920,7026,6858,4623,5394,4581,5013,6168,4881
4,36258,38962,40793,20398,20350,20870,13452,11976,11949,7100,8980,7062,5634,5316,4588,4974,5896,4681
5,36574,36875,39462,19766,20154,21803,12248,12394,12181,7519,7161,6781,4777,5472,4669,4607,5716,4721
6,36555,36573,40574,19906,20328,21196,11558,11666,11855,7141,7814,7136,4710,5085,4733,5082,6988,4874
7,37077,38245,37450,20186,21063,21714,12660,11567,11821,6859,7245,6743,4670,5731,4389,4895,5944,4870
8,37125,38548,40070,20321,20693,22149,11449,12106,12228,6775,7011,6946,4762,5330,4343,5112,6068,4645
9,38553,39164,41120,20292,20555,21780,11524,11837,11886,6755,6915,6997,4791,5077,4592,4829,6748,4822
