i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16,base-32,aosdb-32,aosdboptcompile-32
0,62246,62495,57190,35635,38311,36646,22385,23259,22108,14923,15724,15600,14935,15167,15566,13961,17662,13626
1,61451,60996,60394,37729,37765,37199,22333,22427,22039,14615,15313,14889,15245,14337,15632,14012,16977,14105
2,64214,64991,60873,36776,37131,37382,22491,23126,21639,15031,15243,15144,15039,14444,15296,13947,16719,13563
3,60990,60254,59908,36632,37346,36566,21928,22691,22169,14742,15093,15459,14986,14926,15104,13266,15239,13625
4,61768,61636,59334,36724,37137,36583,22250,23028,22390,14707,15362,15122,15267,14420,15324,13968,14980,13788
5,60988,64909,61835,37295,37764,36330,22042,22680,22046,14584,15884,15029,15124,14535,15366,14090,15178,13868
6,60872,61851,59299,37095,37729,37374,21827,23680,22071,14821,15498,15072,15123,14202,15234,13759,15700,13661
7,63035,63549,60877,35615,37865,37484,22121,23206,21948,15138,15643,15314,15174,14268,15239,13686,15840,13420
8,59114,60612,60096,36631,37445,36794,22220,22595,22500,15450,15414,15077,15602,14438,15261,13462,16222,13789
9,58964,60458,58771,36976,37922,35978,22621,22520,22268,14691,15623,15174,15223,14438,15183,13587,16156,14295
